aedēs (temple / house)	edifice	edify	edification																																																																																																																																																																										
aestās (summer)	estivate	estival																																																																																																																																																																											
ager (field)	agrarian	agriculture	agricultural	agriculturalist	peregrinate	pilgrim	pilgrimage																																																																																																																																																																						
agricola (farmer)	ager (field) + colō (till / dwell) - q.v. ager																																																																																																																																																																												
amīcus (friend)	q.v. amō																																																																																																																																																																												
animal (animal)	q.v. animus																																																																																																																																																																												
animus (mind / soul / spirit)	animadversion	animadvert	animal	animalism	animalistic	animate	anime	animism	animosity	animus	equanimity	inanimate	magnanimity	magnanimous	pusillanimous	reanimate	unanimity	unanimous																																																																																																																																																											
annus (year)	annal	annalist	annalistic	anniversary	annual	annually	annuity	biannual	bicentennial	biennial	biennium	centennial	millennial	millennium	perennial	postmillenial	premillenial	quadrennial	quincentennial	quinqennium	semiannual	sesquicentennial	superannuated	triannular	tricentennial	triennial																																																																																																																																																			
aqua (water)	aquarium	aquatic	aqueduct	aqueous	subaqueous	ewer	sewer	aquamarine																																																																																																																																																																					
arbor (tree)	arboreal	arboretum	arboriculture																																																																																																																																																																										
arcus (bow / arch)	arc	arcade	arch	archer	archery	archway	overarch(ing)																																																																																																																																																																						
arēna (sand)	arena	arenicolous																																																																																																																																																																											
argentum (silver)	Ag.	Argentina	argentine																																																																																																																																																																										
arma (arms / weapons)	alarm	alarum	arm (verb)	armada	armadillo	armor	disarm	armistice	armament	rearm	unarm(ed)	forearm	firearm	gendarme																																																																																																																																																															
ars (art / skill)	art	artful	artifice	artificer	artificial	artillery	artisan	artist	artistic	artistry	inert	inertia	inertial																																																																																																																																																																
auris (ear)	auricle	auricular																																																																																																																																																																											
aurum (gold)	aureole	oriole																																																																																																																																																																											
autumnus (autumn / fall)	autumn	autumnal																																																																																																																																																																											
auxilium (help)	q.v. augeō																																																																																																																																																																												
avis (bird)	auspice	auspicious	aviary	aviation	aviator	inauspicious																																																																																																																																																																							
bellum (war)	belligerent	duel	duelist	rebel	rebellion	revel	revelry	reveler	bellicose																																																																																																																																																																				
beneficium (kindness)	bene (well) + faciō (do)																																																																																																																																																																												
bōs (cow)	bovine	beef	bugle																																																																																																																																																																										
caelum (sky / heaven)	ceiling	celestial	cerulean	Celeste																																																																																																																																																																									
campus (field)	camp	campaign	camper	champagne	champion	encamp	encampment	decamp	scamp	scamper	Campania	campground																																																																																																																																																																	
canis (dog)	canary	canine	kennel																																																																																																																																																																										
capillus (hair)	capillary	dishevel(ed)																																																																																																																																																																											
captīvus (prisoner)	q.v. capiō																																																																																																																																																																												
caput (head)	achieve	achievement	biceps	triceps	quadriceps	cabbage	cad	cadet	capital	capitalism	capitalist	capitalize	capitol	capitulate	captain	cattle	chapter	chattel	chef	chief	chieftain	decapitate	decapitation	kerchief	handkerchief	mischief	mischievous	precipice	precipitate	precipitation	precipitous	recapitulate																																																																																																																																													
carmen (song / poem)	q.v. canō																																																																																																																																																																												
casa (house)	casino																																																																																																																																																																												
castra (camp)	castle	chateau	castellan	Castile	Chester	-chester (as in Manchester	Winchester	etc.																																																																																																																																																																					
causa (cause / reason)	accusation	accusative	accuse	accuser	because	cause	excuse	inexcusable	kickshaw																																																																																																																																																																				
celeritās (speed)	q.v. celer																																																																																																																																																																												
cēna (dinner)	cenacle																																																																																																																																																																												
cēra (wax)	cerament																																																																																																																																																																												
cibus (food)	precibal	postcibal																																																																																																																																																																											
cīvis (citizen)	citadel	citizen	citizenship	city	civic	civil	civilian	civilization	civilize(d)	incivility	uncivil																																																																																																																																																																		
clāmor (shout)	q.v. clāmō																																																																																																																																																																												
collum (neck)	collar	accolade																																																																																																																																																																											
copia (supply)	cum (with) + ops (strength)																																																																																																																																																																												
coquus (cook)	q.v. coquō																																																																																																																																																																												
corōna (crown)	coronation	crown	corollary	coronet	uncrowned																																																																																																																																																																								
cornū (horn)	cornea	corner	cornet	cornucopia	unicorn																																																																																																																																																																								
corpus (body)	corporal	corporate	corporation	corporeal	corps	corpse	corpulent	corpulence	corsage	corset	incorporate																																																																																																																																																																		
cubiculum (bedroom)	cubicle																																																																																																																																																																												
culīna (kitchen)	culinary	kiln																																																																																																																																																																											
cupiditās (desire)	q.v. cupiō																																																																																																																																																																												
cūra (care)	q.v. accuracy	accurate	assurance	assure	assured(ly)	curate	cure	curio	curiosity	curious	curiosity	ensure	inaccuracy	inaccurate	incurable	insecure	insurance	insure	manicure	procure	proctor	proxy	reassurance	reassure	scour	secure	security	sinecure	sure	surely	surety	uncured																																																																																																																																													
currus (chariot)	q.v. currō																																																																																																																																																																												
custōs (guard)	q.v. custodiō																																																																																																																																																																												
cutis (skin)	cuticle	subcutaneous																																																																																																																																																																											
dea (goddess)	q.v. deus																																																																																																																																																																												
dēns (tooth)	dentist	dental	dent	indent	denture	trident	bident	dandelion																																																																																																																																																																					
deus (god)	deify	deist	deity	divine	divination	divinity	adieu																																																																																																																																																																						
diēs (day)	dial	diary	dismal	journal	journalism	adjourn	journey	meridian	sojourn	sundial																																																																																																																																																																			
digitus (finger)	digit	digital	digitize	bit	byte																																																																																																																																																																								
discipulus (student)	q.v. discō																																																																																																																																																																												
diligentia (care)	q.v. legō																																																																																																																																																																												
domina (mistress)	q.v. domus																																																																																																																																																																												
dominus (master)	q.v. domus																																																																																																																																																																												
domus (house)	dame	damsel	beldam	belladonna	danger	dangerous	domain	dome	domestic	domesticate	domicile	dominance	dominant	dominate	domination	domineer	dominion	domino	don	donna	dungeon	endanger	granny	ma'am	madam	mademoiselle	madonna	predominate																																																																																																																																																	
dōnum (gift)	q.v. dō																																																																																																																																																																												
dux (leader)	q.v. dūcō																																																																																																																																																																												
epistula (letter)	epistle	epistolary																																																																																																																																																																											
equus (horse)	equine	equestrian																																																																																																																																																																											
exemplum (example)	q.v. emō																																																																																																																																																																												
exercitus (army)	q.v. arceō																																																																																																																																																																												
fābula (story)	q.v. for																																																																																																																																																																												
fama (fame / reputation)	q.v. for																																																																																																																																																																												
familia (family)	familial	familiar	familiarize	unfamiliar																																																																																																																																																																									
fēmina (woman)	female	feminine	feminism	effeminate																																																																																																																																																																									
fēlēs (cat)	feline																																																																																																																																																																												
ferrum (iron / sword)	farrier																																																																																																																																																																												
fīlia (daughter)	q.v. fīlius																																																																																																																																																																												
fīlius (son)	filial	affiliate	affiliation	hidalgo																																																																																																																																																																									
fīnis (end)	affinity	confine	confinement	define	definite	definition	final	finale	finality	finance	financial	fine	finesse	finish	finite	infinite	infinitesimal	infinitive	infinity	paraffin	refine(d)	redefine	refinement	refinery	undefined																																																																																																																																																				
flamma (flame)	aflame	flamboyant	flame	inflame	flammable	inflammable	inflammation	inflammatory																																																																																																																																																																					
flōs (flower)	cauliflower	cornflower	flora	floral	florid	florin	florist	flour	flourish	flower	flowery	sunflower	wallflower	Florida	florescent	efflorescent	efflorescence																																																																																																																																																												
fortūna (fortune)	fortunate	fortune	misfortune	misfortunate	unfortunate																																																																																																																																																																								
forum (marketplace)	forensic	forensics																																																																																																																																																																											
frāter (brother)	friar	fraternity	fraternal	fraternize																																																																																																																																																																									
frōns (forehead)	affront	confront	effrontery	forefront	front	frontal	frontier	waterfront																																																																																																																																																																					
fuga (flight)	q.v. fugiō																																																																																																																																																																												
fūmus (smoke)	fume	fumigate	perfume																																																																																																																																																																										
fūr (theif)	furtive	ferret																																																																																																																																																																											
gaudium (joy)	q.v. gaudeō																																																																																																																																																																												
gēns (family / nation / clan)	q.v. genus																																																																																																																																																																												
genū (knee)	genuflect																																																																																																																																																																												
genus (race / kind / class)	benign	benignant	congenial	congenital	degenerate	degeneration	engender	engine	engineer	gendarme	gender	general	generality	generalization	generate	generation	generative	generator	generic	generosity	generous	genial	genre	gent	genteel	gentile	gentility	gentle	gentleman	gently	gentry	genuine	germ	germinate	germinate	gin (as in cotton gin)	indigenous	ingenious	jaunty	malign	malignant	primogeniture	progenitor	progeny	regenerate	regeneration	regenerative																																																																																																																														
gladius (sword)	gladiator	gladiolus	gladiola																																																																																																																																																																										
glōria (glory)	glorification	glorify	glory	glorious	inglorious	vainglorious																																																																																																																																																																							
grātia (thanks / favor)	q.v. grātus																																																																																																																																																																												
herba (grass)	arbor	herb	herbal	herbage	herbivore	herbicide																																																																																																																																																																							
hiems (winter)	hibernate	hibernation																																																																																																																																																																											
homō (man)	homage	homicide	human	humane	humanist	humanity	humanitarian	humanize	inhuman	inhumane	superhuman																																																																																																																																																																		
honor (honor)	dishonest	dishonesty	dishonor	dishonorable	honest	honesty	honorable	honorary																																																																																																																																																																					
hōra (hour)	horoscope	hour																																																																																																																																																																											
hortus (garden)	horticulture	horticultural																																																																																																																																																																											
hospes (guest)	hospice	hospital	hospitality	hospitable	host	hostage	hostel	hostlery	hostess	hostler	ostler	hotel	inhospitable																																																																																																																																																																
hostis (enemy)	host (enemy army)	hostile	hostility																																																																																																																																																																										
iānua (door)	January	janitor	janitorial																																																																																																																																																																										
ignis (fire)	ignite	ignition	igneous	reignite																																																																																																																																																																									
imperium (power)	q.v. parō																																																																																																																																																																												
incendium (fire)	incense	incendiary																																																																																																																																																																											
īnfāns (infant)	q.v. for																																																																																																																																																																												
initium (beginning)	q.v. eō																																																																																																																																																																												
iniūria (injury)	q.v. iūs																																																																																																																																																																												
īnsula (island)	insular	insulate	insulation	insulator	isle	islet	isolate	isolation	peninsula	peninsular																																																																																																																																																																			
īra (anger)	irate	ire	ireful	irascible	iracund	iracundity																																																																																																																																																																							
iter (journey)	itinerary	itinerant	q.v. eō																																																																																																																																																																										
iūdex (judge)	q.v. iūdicō																																																																																																																																																																												
iūs (law / right)	abjure	adjure	adjuration	adjust	adjustable	adjuster	conjure	conjurer	injure	injury	injurious	justice	injustice	jurisdiction	jurisprudence	jurist	juror	jury	just	justify	justifiable	justification	perjure	perjury	unjust	readjust																																																																																																																																																			
iuvenis (youth)	juvenile	rejuvenate																																																																																																																																																																											
lacrima (tear)	q.v. lacrimō																																																																																																																																																																												
labor (work / effort)	q.v. labōrō																																																																																																																																																																												
leō (lion)	leonine	lion	leopard	Leon	dandelion	chameleon																																																																																																																																																																							
lēx (law)	allegation	colleague	college	collegiate	delegate	delegation	disloyal	illegal	illegitimate	leal	legacy	legal	legality	legalize	legate	legislate	legislation	legislator	legitimate	legitimacy	loyal	loyalty	loyalist	privilege	relegate																																																																																																																																																				
liber (book)	libel	librarian	library	libretto																																																																																																																																																																									
lībertās (liberty)	q.v. līberō																																																																																																																																																																												
lingua (tongue / language)	language	lingual	bilingual	trilingual	linguistics	sublingual	linguini	lingo																																																																																																																																																																					
littera (letter)	alliteration	illiterate	illiteracy	letter	literate	literacy	literal	literary	literature	obliterate																																																																																																																																																																			
locus (place)	collocation	couch	dislocate	lieu	lieutenant	local	locality	localize	locate	location	locale	locomotion	locomotive																																																																																																																																																																
lūdus (game / school)	q.v. lūdō																																																																																																																																																																												
lupus (wolf)	lupine																																																																																																																																																																												
lūmen (light)	illume	illuminate	illumination	limn	luminary	luminous																																																																																																																																																																							
lūna (moon)	lunar	lunular	lunatic	lunacy	interlunar																																																																																																																																																																								
lūx (light)	elucidate	lucid	lucent	Lucifer	Lucius	lucubrate	lucubration	translucent	pellucid																																																																																																																																																																				
magister (teacher)	q.v. magnus																																																																																																																																																																												
manus (hand)	amanuensis	emancipate	emancipation	maintain	maintenance	manacle	manage	manageable	management	manager	managerial	maneuver	manicure	manifest	manifestation	manifesto	manipulate	manipulation	manner	mannerism	manoeuver	manual	manufacture	manumission	manure	manuscript	mismanage	unmanageable																																																																																																																																																	
mare (sea)	cormorant	marinate	marine	mariner	maritime	rosemary	submarine																																																																																																																																																																						
marītus (husband)	intermarriage	intermarry	marital	marriage	married	marry	remarry	remarriage	unmarried																																																																																																																																																																				
māter (mother)	maternal	maternity	matron	matrimonial	matrimony	matrix																																																																																																																																																																							
medicus (doctor)	medical	medicine	medicinal	medicate	pre-med																																																																																																																																																																								
memoria (memory)	q.v. memor																																																																																																																																																																												
mēns (mind)	mental	mentality	demented																																																																																																																																																																										
mēnsa (table)	mesa	Mesa Verde																																																																																																																																																																											
mēnsis (month)	semester	bimester	trimester																																																																																																																																																																										
merīdiēs (noon / mid-day)	q.v. diēs																																																																																																																																																																												
mīles (soldier)	militant	militarism	militarist	military	demilitarize	militia	paramilitary																																																																																																																																																																						
modus (method / measure / manner)	accommodate	accommodation	commode	commodious	commodity	immoderate	immodest	mode	model	moderate	moderation	moderator	modesty	modification	modify	modulate	mold	remodel																																																																																																																																																											
mōns (mountain)	amount	dismount	insurmountable	mount	mountain	mountaineer	mountainous	paramount	remount	surmount	tantamount																																																																																																																																																																		
mors (death)	immortal	immortality	immortalize	mortal	mortality	mortgage	mortify																																																																																																																																																																						
mōs (custom)	amoral	amorality	demoralize	immoral	immorality	moral	morale	moralist	morality	moralize	morose																																																																																																																																																																		
multitūdō (crowd)	q.v. multus																																																																																																																																																																												
mūrus (wall)	mural	immure	intramural																																																																																																																																																																										
mūs (mouse)	muscle	muscular	mussel																																																																																																																																																																										
nāsus (nose)	nasal																																																																																																																																																																												
nātūra (nature)	q.v. nascor																																																																																																																																																																												
nauta (sailor)	nautical	astronaut	cosmonaut	Argonaut																																																																																																																																																																									
nāvis (ship)	circumnavigate	naval	nave	navigable	navigate	navigation	navigator	navy																																																																																																																																																																					
negōtium (business / task)	q.v. otium																																																																																																																																																																												
nihil (nothing)	annihilate	annihilation	nihilism	nihilist																																																																																																																																																																									
nōmen (name)	denominate	denomination	denominator	denominational	non-denominational	ignominious	ignominy	misnomer	nomenclature	nominal	nominate	nomination	nominative	nominee	noun	pronoun	renominate	renown	renowned																																																																																																																																																										
nox (night)	nocturnal	equinox	equinoctial																																																																																																																																																																										
numerus (number)	enumerate	enumeration	innumerable	number	numeral	numerical	numerous	outnumber	supernumerary	unnumbered																																																																																																																																																																			
